LSOA code,LSOA name,lat_med,lon_med,n
W01000319,Flintshire 016G,53.172293,-3.144273,82
W01000199,Denbighshire 011C,53.18402,-3.431631,81
W01000143,Conwy 007B,53.2924205,-3.724952,80
W01000226,Denbighshire 004A,53.328442,-3.4644589999999997,80
W01000375,Wrexham 003B,53.069159,-3.006447,80
W01000275,Flintshire 007C,53.223044,-3.070632,79
W01000341,Wrexham 023C,53.056895,-2.98179,79
W01000014,Isle of Anglesey 006C,53.258855,-4.311175,79
W01000176,Conwy 011D,53.283942,-3.804391,79
W01000228,Denbighshire 004C,53.324079,-3.485402,79
W01000386,Wrexham 015A,53.006002,-3.044003,79
W01000033,Isle of Anglesey 003E,53.307426,-4.624158,78
W01000361,Wrexham 019E,52.9348,-3.053918,77
W01000238,Denbighshire 006C,53.31851,-3.480569,77
W01000017,Isle of Anglesey 003B,53.302511,-4.629408,77
W01000420,Wrexham 016E,52.988756,-3.037412,76
W01000259,Flintshire 017A,53.165853,-3.071618,75
W01000242,Denbighshire 014A,53.114468,-3.316753,75
W01000198,Denbighshire 011B,53.183354,-3.427068,75
W01000130,Conwy 012C,53.281045,-3.829861,75
W01000418,Wrexham 022A,53.108755,-2.946022,74
W01000126,Conwy 009A,53.288175,-3.694966,74
W01000090,Gwynedd 002D,53.222025,-4.116599,73
W01000334,Flintshire 009C,53.209851,-3.035962,73
W01000254,Flintshire 003B,53.276734,-3.189233,72
W01000278,Flintshire 007D,53.222828,-3.068885,72
W01000011,Isle of Anglesey 008B,53.225386,-4.163459,72
W01000157,Conwy 004C,53.310356,-3.747566,72
W01000158,Conwy 004D,53.30828,-3.752634,71
W01000422,Wrexham 008F,53.059964,-3.004499,71
W01000407,Wrexham 016C,52.985411,-3.0448120000000003,70
W01000081,Gwynedd 005B,53.120101,-4.126947,70
W01000218,Denbighshire 001A,53.336047,-3.4083490000000003,70
W01000273,Flintshire 007A,53.216977,-3.065205,69
W01000167,Conwy 011C,53.294145,-3.761778,68
W01002004,Gwynedd 016F,52.723533,-4.0587205,68
W01000262,Flintshire 017C,53.164778,-3.082148,67
W01000132,Conwy 001A,53.320542,-3.811674,67
W01000091,Gwynedd 001D,53.2272,-4.114146,67
W01000405,Wrexham 015B,53.007268,-3.0506775,66
W01000072,Gwynedd 002B,53.220035,-4.14974,66
W01000401,Wrexham 005D,53.062663,-3.031786,64
W01000342,Wrexham 023E,53.058574,-2.988327,64
W01000149,Conwy 005A,53.309014,-3.527323,63
W01000145,Conwy 008B,53.286767,-3.718017,63
W01000314,Flintshire 016B,53.166643,-3.143241,63
W01000390,Wrexham 021A,53.099322,-3.003697,63
W01000414,Wrexham 010D,53.041906,-2.967721,63
W01000123,Conwy 013A,53.254403,-3.978701,63
W01000223,Denbighshire 009B,53.303657,-3.467551,62
W01000217,Denbighshire 008C,53.31578,-3.412106,62
W01000179,Conwy 010F,53.28682,-3.586468,62
W01000400,Wrexham 005C,53.0540045,-3.028198,62
W01000216,Denbighshire 002D,53.334925,-3.401043,61
W01000373,Wrexham 005B,53.060169,-3.036198,61
W01000379,Wrexham 004C,53.071701,-3.023845,60
W01000347,Wrexham 006A,53.065788,-3.0527895000000003,60
W01000113,Gwynedd 009C,52.959365,-3.932351,59
W01000381,Wrexham 012A,53.03634,-2.990305,59
W01000104,Gwynedd 008C,53.052869,-4.283347,59
W01000231,Denbighshire 017A,53.321519499999994,-3.472752,58
W01000354,Wrexham 017A,52.978805,-3.077935,57
W01000225,Denbighshire 009D,53.290955,-3.466701,57
W01000318,Flintshire 016F,53.168735,-3.151092,57
W01000251,Flintshire 013A,53.191517,-3.050279,56
W01001929,Wrexham 012F,53.043799,-2.9834855,56
W01000078,Gwynedd 011C,52.976493,-4.426602,56
W01000419,Wrexham 016D,52.994701500000005,-3.033307,56
W01000219,Denbighshire 001B,53.336166,-3.4241435,56
W01000208,Denbighshire 016C,52.9702985,-3.169793,56
W01000366,Wrexham 014A,53.032024,-3.026296,56
W01000329,Flintshire 015D,53.178402,-2.944775,56
W01000313,Flintshire 016A,53.162096,-3.1373,55
W01000140,Conwy 010B,53.28373,-3.579285,55
W01000075,Gwynedd 002C,53.221223,-4.139431,55
W01000036,Isle of Anglesey 003F,53.313092,-4.632906,54
W01002003,Gwynedd 013E,52.788999,-4.099491,54
W01000378,Wrexham 004B,53.075273,-3.027226,53
W01000201,Denbighshire 008B,53.304351,-3.420977,53
W01000287,Flintshire 001A,53.332051,-3.318979,53
W01000410,Wrexham 014D,53.012341,-3.049127,53
W01000355,Wrexham 017B,52.976283,-3.070782,52
W01000127,Conwy 009B,53.291161,-3.683933,52
W01000067,Gwynedd 016D,52.743809,-3.88492,51
W01000076,Gwynedd 001B,53.234198,-4.122755,51
W01000188,Conwy 002D,53.312825,-3.822828,50
W01000162,Conwy 014C,53.178647,-3.596042,50
W01000165,Conwy 006C,53.289824,-3.81597,50
W01000152,Conwy 005D,53.312258,-3.51685,50
W01000038,Isle of Anglesey 009D,53.164451,-4.359713,50
W01000155,Conwy 004A,53.304825,-3.743723,49
W01000412,Wrexham 015D,53.014406,-3.059262,49
W01000068,Gwynedd 016E,52.74104,-3.884481,49
W01000129,Conwy 012B,53.28771,-3.8410345,48
W01000203,Denbighshire 013A,53.096819499999995,-3.203306,48
W01000360,Wrexham 019D,52.942486,-3.056901,48
W01000109,Gwynedd 012E,52.881746,-4.418450999999999,48
W01000330,Flintshire 015E,53.176407,-2.927374,47
W01000246,Denbighshire 010B,53.255792,-3.451602,47
W01000089,Gwynedd 011D,52.918804,-4.336296,47
W01000154,Conwy 003A,53.301842,-3.75064,47
W01000327,Flintshire 018C,53.153848,-3.041711,47
W01000119,Gwynedd 004D,53.187094,-4.208009,47
W01000193,Denbighshire 015A,52.980619,-3.37999,47
W01000025,Isle of Anglesey 009B,53.22225,-4.274505,46
W01000097,Gwynedd 003D,53.18082,-4.063135,46
W01000263,Flintshire 017D,53.164549,-3.086884,45
W01000101,Gwynedd 013D,52.929907,-4.067977,45
W01000296,Flintshire 003C,53.288195,-3.212567,45
W01000294,Flintshire 005C,53.237443,-3.136712,45
W01000035,Isle of Anglesey 005E,53.285197,-4.217469,45
W01000305,Flintshire 003F,53.275649,-3.21147,45
W01000230,Denbighshire 017F,53.312269,-3.4761800000000003,44
W01000087,Gwynedd 004C,53.1484405,-4.191784,44
W01000153,Conwy 009D,53.289854,-3.641995,44
W01000170,Conwy 013C,53.2528535,-3.971281,44
W01000115,Gwynedd 003E,53.191091,-4.09042,44
W01000122,Conwy 014A,53.247624,-3.607117,43
W01000382,Wrexham 012B,53.038754,-2.985127,43
W01000009,Isle of Anglesey 007C,53.258841,-4.420731,43
W01000004,Isle of Anglesey 001B,53.4113425,-4.357931,42
W01000286,Flintshire 013E,53.188815500000004,-3.058846,42
W01000171,Conwy 013D,53.26842,-3.921354,42
W01000298,Flintshire 001B,53.337185000000005,-3.3584690000000004,42
W01000221,Denbighshire 003B,53.325617,-3.422454,41
W01000117,Gwynedd 017E,52.586205,-4.090907,41
W01000229,Denbighshire 017E,53.313212,-3.460715,41
W01000415,Wrexham 023F,53.054938,-2.9718,41
W01000071,Gwynedd 003B,53.1904685,-4.059188,40
W01000063,Gwynedd 005A,53.146221,-4.126939999999999,40
W01000112,Gwynedd 008D,53.054566,-4.251835,40
W01000015,Isle of Anglesey 008C,53.222302,-4.198256,40
W01000096,Gwynedd 003C,53.176797,-4.052714,39
W01000364,Wrexham 006E,53.052708,-3.069646,39
W01000247,Denbighshire 010C,53.224426,-3.421799,39
W01000253,Flintshire 003A,53.264247,-3.165617,39
W01000042,Isle of Anglesey 008D,53.230348,-4.169227,39
W01000209,Denbighshire 016D,52.969033,-3.162583,39
W01000086,Gwynedd 008B,53.041541,-4.285268,39
W01000150,Conwy 005B,53.29914,-3.515067,38
W01000264,Flintshire 012A,53.168591,-3.082329,38
W01000065,Gwynedd 009B,52.992876,-3.93292,38
W01000232,Denbighshire 017B,53.318755,-3.4625,38
W01000051,Gwynedd 015A,52.910655,-3.598732,38
W01000322,Flintshire 014E,53.165766,-3.124812,37
W01000245,Denbighshire 010A,53.256792,-3.44096,37
W01000277,Flintshire 008B,53.21372,-3.074558,37
W01000207,Denbighshire 015C,53.076779,-3.298063,37
W01000202,Denbighshire 015B,53.061475,-3.371416,37
W01000258,Flintshire 006A,53.251818,-3.210793,36
W01000311,Flintshire 011A,53.1938595,-3.019205,36
W01000309,Flintshire 019C,53.131031,-3.091879,36
W01000121,Conwy 015A,53.0803235,-3.88697,36
W01000351,Wrexham 005A,53.074465,-3.0392305,36
W01000107,Gwynedd 010E,52.938611,-4.140624,35
W01000331,Flintshire 015F,53.174393,-2.932293,35
W01001933,Gwynedd 017F,52.546587,-4.043395,35
W01000391,Wrexham 003D,53.092408,-3.000333,35
W01000005,Isle of Anglesey 005A,53.263412,-4.093981,35
W01000312,Flintshire 011B,53.201646,-3.019901,35
W01000027,Isle of Anglesey 009C,53.179397,-4.271561,34
W01000136,Conwy 006B,53.2955355,-3.833945,34
W01000028,Isle of Anglesey 001D,53.3306625,-4.37613,34
W01000050,Gwynedd 003A,53.217823,-4.0950045,34
W01000269,Flintshire 020A,53.1083785,-3.0401075,34
W01000371,Wrexham 008B,53.053789,-2.998229,33
W01000267,Flintshire 017F,53.172738,-3.057295,33
W01000362,Wrexham 006C,53.053956,-3.0606145,32
W01000272,Flintshire 006D,53.1964,-3.207985,32
W01000404,Wrexham 018D,52.9544435,-2.869766,32
W01000310,Flintshire 020D,53.0991365,-3.0340655,32
W01000018,Isle of Anglesey 001C,53.4112675,-4.454944,32
W01000398,Wrexham 013A,53.059499,-3.085782,32
W01000196,Denbighshire 012B,53.190872999999996,-3.409655,32
W01000326,Flintshire 018B,53.144707,-3.047988,32
W01000220,Denbighshire 001C,53.3322015,-3.4351825,32
W01000206,Denbighshire 013C,53.175371,-3.336601,32
W01000424,Wrexham 012E,53.040129,-2.983501,32
W01000340,Flintshire 002C,53.278988,-3.271306,32
W01000356,Wrexham 017C,52.968113,-3.070192,32
W01001930,Wrexham 019F,52.932462,-3.186501,31
W01000172,Conwy 013E,53.266769,-3.926813,31
W01000348,Wrexham 006B,53.07817,-3.057814,31
W01000367,Wrexham 014B,53.033195,-3.023559,31
W01000192,Denbighshire 016A,52.982819,-3.323008,31
W01002008,Isle of Anglesey 007F,53.225264,-4.482623,31
W01000392,Wrexham 003E,53.093657,-2.995899,31
W01000023,Isle of Anglesey 007D,53.291181,-4.5035,31
W01000399,Wrexham 013B,53.072459,-3.101351,30
W01000210,Denbighshire 016E,52.968531999999996,-3.1669985,30
W01000118,Gwynedd 007D,53.119012999999995,-4.2177115,30
W01000183,Conwy 008E,53.29651,-3.734308,30
W01000266,Flintshire 017E,53.1692245,-3.076793,30
W01000147,Conwy 001C,53.31995,-3.842237,29
W01000116,Gwynedd 017D,52.584484,-4.094428,29
W01000103,Gwynedd 005D,53.202873,-4.166243,29
W01000395,Wrexham 016B,53.02406,-2.95841,29
W01000385,Wrexham 014C,53.008437,-3.039658,29
W01000212,Denbighshire 003A,53.327857,-3.406309,29
W01000008,Isle of Anglesey 008A,53.222892,-4.207892,29
W01000010,Isle of Anglesey 002A,53.319617,-4.229926,27
W01001927,Conwy 010G,53.296203,-3.568903,27
W01001970,Wrexham 021C,53.098395,-2.957742,27
W01000289,Flintshire 005A,53.246712,-3.150246,27
W01000227,Denbighshire 004B,53.324945,-3.478799,27
W01000271,Flintshire 006C,53.246088,-3.306377,27
W01000074,Gwynedd 013B,52.864875,-4.109715,27
W01000142,Conwy 010D,53.276141,-3.586417,27
W01000085,Gwynedd 017C,52.692235,-4.0561,27
W01000061,Gwynedd 011B,52.919692,-4.235368,27
W01000114,Gwynedd 009D,52.9016,-3.922715,27
W01000224,Denbighshire 009C,53.292451,-3.458324,26
W01001926,Conwy 011F,53.2666205,-3.795762,26
W01000095,Gwynedd 012C,52.9357635,-4.5204645,26
W01000338,Flintshire 001C,53.308025,-3.354416,26
W01000408,Wrexham 013D,52.999263,-3.070533,25
W01000034,Isle of Anglesey 004B,53.312079,-4.648791,25
W01000377,Wrexham 004A,53.089583,-3.029515,25
W01000211,Denbighshire 012D,53.109754,-3.372624,25
W01000292,Flintshire 004C,53.242726,-3.126684,25
W01000297,Flintshire 003D,53.285404,-3.218736,25
W01000394,Wrexham 016A,53.014962,-2.968915,25
W01000013,Isle of Anglesey 005B,53.244471,-4.147964,25
W01000022,Isle of Anglesey 004A,53.352594,-4.533438,25
W01000080,Gwynedd 014C,52.858198,-4.495796,25
W01000133,Conwy 002A,53.318009,-3.804466,24
W01000250,Flintshire 014B,53.165981,-3.108385,24
W01000235,Denbighshire 017D,53.321812,-3.462769,24
W01000323,Flintshire 012C,53.2077695,-3.1328165,24
W01000252,Flintshire 010A,53.200038,-3.040032,24
W01000195,Denbighshire 012A,53.182749,-3.398769,24
W01000325,Flintshire 010D,53.20113,-3.091388,23
W01000389,Wrexham 017D,52.973468,-3.090501,23
W01000052,Gwynedd 004A,53.166059,-4.203162,23
W01000244,Denbighshire 014C,53.113016,-3.301312,23
W01000268,Flintshire 013B,53.176049,-3.074408,23
W01000295,Flintshire 005D,53.242257,-3.136835,23
W01000300,Flintshire 019B,53.145793,-3.16729,22
W01000148,Conwy 015D,53.140885,-3.800646,22
W01000256,Flintshire 015B,53.162234,-3.000021,22
W01000099,Gwynedd 005C,53.1644125,-4.1343425,22
W01000110,Gwynedd 006D,53.1329,-4.265420000000001,22
W01000047,Gwynedd 011A,52.904514,-4.383429,22
W01000037,Isle of Anglesey 003G,53.313648,-4.6375174999999995,22
W01000248,Denbighshire 008D,53.262989,-3.390749,21
W01000308,Flintshire 020C,53.114822,-3.033184,21
W01000280,Flintshire 010B,53.205235,-3.072981,21
W01000301,Flintshire 006E,53.223779,-3.1816,21
W01000233,Denbighshire 017C,53.316424,-3.469852,21
W01000040,Isle of Anglesey 004D,53.295044,-4.61899,21
W01000190,Conwy 014D,52.990136,-3.542713,21
W01000181,Conwy 008D,53.2860655,-3.736727,20
W01000265,Flintshire 012B,53.173159,-3.090356,20
W01000222,Denbighshire 003C,53.329828,-3.4222975,20
W01000173,Conwy 003B,53.314272,-3.779828,20
W01000359,Wrexham 019C,52.946818,-3.054967,19
W01000368,Wrexham 008A,53.063322,-2.992129,19
W01000174,Conwy 003C,53.317846,-3.773965,19
W01000135,Conwy 006A,53.302958,-3.816159,19
W01000363,Wrexham 006D,53.054483,-3.073353,19
W01000083,Gwynedd 015D,52.902325,-3.650791,19
W01000125,Conwy 013B,53.276133,-3.900863,19
W01000021,Isle of Anglesey 002C,53.386898,-4.31998,19
W01000417,Wrexham 022B,53.114834,-2.937613,19
W01000073,Gwynedd 008A,53.079948,-4.290858,19
W01000137,Conwy 015C,53.217556,-3.791489,19
W01000346,Wrexham 018B,52.965088,-2.774296,19
W01000345,Wrexham 018A,52.999671,-2.873959,19
W01000261,Flintshire 014C,53.168118,-3.091309,19
W01000007,Isle of Anglesey 009A,53.217716499999995,-4.3722535,18
W01000100,Gwynedd 010B,52.93141,-4.069402,18
W01000088,Gwynedd 007B,53.0923775,-4.277264,18
W01000026,Isle of Anglesey 005D,53.290901,-4.089373,18
W01000070,Gwynedd 012A,52.896133,-4.453022,18
W01000285,Flintshire 013D,53.189402,-3.046501,18
W01000279,Flintshire 008C,53.210347999999996,-3.064515,18
W01000369,Wrexham 021B,53.088257,-2.971997,17
W01000057,Gwynedd 016C,52.766556,-3.888207,17
W01000284,Flintshire 013C,53.184082,-3.053089,17
W01000175,Conwy 003D,53.314295,-3.77302,17
W01000307,Flintshire 020B,53.120797,-3.033863,17
W01000316,Flintshire 016D,53.166518,-3.153835,17
W01000299,Flintshire 019A,53.173587,-3.20294,17
W01000177,Conwy 011E,53.286631,-3.795549,17
W01000205,Denbighshire 016B,52.922652,-3.439547,17
W01000141,Conwy 010C,53.282103,-3.589231,17
W01000197,Denbighshire 012C,53.186024,-3.407608,17
W01000124,Conwy 012A,53.230513,-3.858033,17
W01000180,Conwy 008C,53.2869225,-3.734193,16
W01000031,Isle of Anglesey 001E,53.3857505,-4.455139,16
W01000189,Conwy 015F,53.038809,-3.801858,16
W01000291,Flintshire 005B,53.243769,-3.14529,16
W01001932,Gwynedd 014E,52.860626,-4.6174325,16
W01000060,Gwynedd 015B,52.7168985,-3.691434,16
W01000024,Isle of Anglesey 007E,53.267934,-4.5233615,16
W01000403,Wrexham 018C,52.950973,-2.866918,16
W01000260,Flintshire 017B,53.164328999999995,-3.0719975,16
W01000339,Flintshire 019D,53.114697,-3.1221389999999998,16
W01000321,Flintshire 014D,53.172373,-3.111263,16
W01000094,Gwynedd 012B,52.930248,-4.552958,15
W01000159,Conwy 014B,53.163538,-3.684538,15
W01000302,Flintshire 013F,53.185063,-3.028209,15
W01000053,Gwynedd 004B,53.140756,-4.168,15
W01000370,Wrexham 021D,53.084661,-2.9731235,14
W01000249,Flintshire 014A,53.1719095,-3.1057420000000002,14
W01000344,Wrexham 023A,53.0647235,-2.9765715,14
W01001972,Wrexham 022E,53.0493675,-2.9641555,14
W01000380,Wrexham 004D,53.066582,-3.0228675,14
W01000082,Gwynedd 015C,52.946982,-3.57425,13
W01000131,Conwy 012D,53.276885,-3.840555,13
W01000257,Flintshire 015C,53.163314,-2.984497,13
W01000200,Denbighshire 008A,53.29657,-3.412744,13
W01000276,Flintshire 008A,53.219697,-3.075877,13
W01000303,Flintshire 018A,53.141419,-3.005642,13
W01000164,Conwy 009F,53.283375,-3.653735,13
W01000185,Conwy 015E,53.154148,-3.827205,12
W01002005,Isle of Anglesey 002E,53.352325,-4.239027,12
W01000416,Wrexham 023D,53.059718,-2.965422,12
W01000204,Denbighshire 013B,53.127802,-3.284773,11
W01000376,Wrexham 003C,53.077728,-3.0163315,10
W01000317,Flintshire 016E,53.1614055,-3.148085,10
W01000044,Isle of Anglesey 004F,53.287199,-4.564362,10
W01000084,Gwynedd 014D,52.812985999999995,-4.515035,10
W01000388,Wrexham 008E,53.065873499999995,-2.988996,10
W01000019,Isle of Anglesey 005C,53.309402,-4.224694,9
W01000006,Isle of Anglesey 006A,53.278465,-4.385123,9
W01000270,Flintshire 006B,53.233875,-3.248712,9
W01000282,Flintshire 010C,53.208252,-3.075621,9
W01000387,Wrexham 008D,53.069591,-2.985467,9
W01000324,Flintshire 012D,53.189135,-3.130579,8
W01000384,Wrexham 022C,53.079897,-2.881656,8
W01000281,Flintshire 008D,53.2142875,-3.066731,8
W01000054,Gwynedd 007A,53.115028,-4.265868,7
W01000066,Gwynedd 010A,52.972905,-4.239496,6
W01000343,Wrexham 023B,53.059894,-2.973182,5
E01018330,Cheshire West and Chester 034D,53.1941845,-2.9254045,4
E01018339,Cheshire West and Chester 047A,53.094172,-2.896347,3
E01028920,Shropshire 003D,52.936281,-3.027437,2
W01000215,Denbighshire 002C,53.335332,-3.39221,2
E01018352,Cheshire West and Chester 044B,53.174229,-2.924795,1
E01018332,Cheshire West and Chester 043A,53.179835,-2.919335,1
E01018317,Cheshire West and Chester 031E,53.198433,-2.935586,1
